Accidente colective de munca pe activitati economice CAEN Rev.1,ACC101A
"AMIGO - Populatia ocupata pe grupe de varsta, dupa statutul profesional si medii de rezidenta",AMG1102
"AMIGO - Populatia ocupata si salariatii dupa programul de lucru, pe grupe de varsta si sexe",AMG1103
"AMIGO - Populatia ocupata si salariatii dupa programul de lucru, pe grupe de varsta si medii de rezidenta",AMG1104
"AMIGO - Populatia ocupata si salariatii dupa programul de lucru, pe activitati si sexe",AMG1105
"AMIGO - Populatia ocupata si salariatii dupa programul de lucru, pe activitati si medii de rezidenta",AMG1106
AMIGO - Populatia ocupata pe grupe de varsta si medii de rezidenta,AMG1107
AMIGO - Populatia ocupata  pe grupe de varsta si sexe,AMG110A
AMIGO - Populatia ocupata  pe grupe de varsta  si medii de rezidenta,AMG110B
AMIGO - Populatia ocupata  dupa starea civila si grupe de varsta,AMG110C
AMIGO - Populatia ocupata pe sexe dupa starea civila,AMG110D
"AMIGO - Populatia ocupata  pe medii de rezidenta, dupa starea civila",AMG110E
AMIGO - Populatia ocupata pe grupe de varsta si sexe,AMG110F
"AMIGO - Populatia ocupata dupa nivel de educatie, pe grupe de varsta si sexe",AMG110I
"AMIGO - Populatia ocupata dupa nivel de educatie, pe grupe de varsta si medii de rezidenta",AMG110J
"AMIGO - Populatia ocupata dupa forma de proprietate a locului de munca, pe activitati si sexe",AMG110M
"AMIGO - Populatia ocupata dupa forma de proprietate a locului de munca, pe activitati si medii de rezidenta",AMG110N
"AMIGO - Populatia ocupata pe activitati, grupe de varsta si sexe",AMG110O
"AMIGO - Populatia ocupata pe activitati, grupe de varsta si medii de rezidenta",AMG110P
"AMIGO - Populatia ocupata pe activitati, dupa statutul profesional si sexe",AMG110S
"AMIGO - Populatia ocupata pe activitati, dupa statutul profesional si medii de rezidenta",AMG110T
"AMIGO - Populatia ocupata pe grupe de ocupatii, grupe de varsta si sexe",AMG110U
"AMIGO - Populatia ocupata pe grupe de ocupatii, grupe de varsta si medii de rezidenta",AMG110V
"AMIGO - Populatia ocupata pe grupe de ocupatii, nivel de educatie si sexe",AMG110W
"AMIGO - Populatia ocupata pe grupe de ocupatii, nivel de educatie si medii de rezidenta",AMG110X
AMIGO-Populatia ocupata pe grupe de varsta si sexe (date comparabile),AMG111A
AMIGO-Populatia ocupata pe grupe de varsta si medii de rezidenta (date comparabile),AMG111B
"AMIGO - Populatia ocupata cu program de lucru partial, dupa durata obisnuita a saptamanii de lucru, statut profesional si sexe",AMG115A
"AMIGO - Populatia ocupata cu program de lucru partial, dupa durata obisnuita a saptamanii de lucru, statut profesional si medii de rezidenta",AMG115B
