Accidente colective de munca pe activitati economice CAEN Rev.1,ACC101A
"Conflicte de interese pe macroregiuni, regiuni de dezvoltare si judete",CNF101B
Conflicte de interese  pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1,CNF101C
Conflicte de interese pe activitati ale industriei la nivel de diviziune CAEN Rev.1,CNF101D
Conflicte de interese pe activitati ale economiei nationale la nivel de sectiune si diviziune CAEN Rev.2,CNF101E
Conflicte de interese si frecventa lor lunara,CNF101F
Salariati din unitatile in care au avut loc conflicte de interese pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1 si categorii de persoane,CNF102A
Salariati din unitatile in care au avut loc conflicte de interese pe activitati ale industriei la nivel de diviziune CAEN Rev.1 si categorii de persoane,CNF102B
"Salariati din unitatile in care au avut loc conflicte de interese dupa frecventa lor lunara, pe categorii de persoane",CNF102C
Salariati din unitatile in care au avut loc conflicte de interese pe activitati ale economiei nationale la nivel de sectiune si diviziune CAEN Rev.2 si categorii de persoane,CNF102D
"Salariati din unitatile in care au avut loc conflicte de interese pe macroregiuni, regiuni de dezvoltare si judete",CNF102E
Lucrari de constructii dupa modul de executie si forme de proprietate,CNS103A
Lucrari de constructii in antrepriza pe tipuri de lucrari si categorii de obiecte ,CNS104A
"Indicii lucrarilor de constructii (1998 = 100 pentru perioada 1999-2002; 2000=100 incepand cu anul 2003), pe forme de proprietate",CNS105A
"Indicii lucrarilor de constructii, seria bruta - an de baza 2015",CNS105I
"Indicii lucrarilor de constructii, serie ajustata cu numarul de zile lucratoare - an de baza 2015",CNS105J
"Indicii lucrarilor de constructii, serie ajustata cu numarul de zile lucratoare si de sezonalitate - an de baza 2015",CNS105K
"Indicii productivitatii muncii pe un salariat, din unitatile de constructii",CNS106A
Indici de cost in constructii - an de baza 2015,CNS107C
"Cifra de afaceri in comertul cu amanuntul pentru intreprinderile cu activitate principala de comert,  pe activitati CAEN Rev.1 si forme de proprietate",COM101A
"Cifra de afaceri in comertul cu amanuntul pentru intreprinderile cu activitate principala de comert,  pe activitati  ale economiei nationale CAEN Rev.2 si forme de proprietate",COM101B
"Indicii vanzarilor de marfuri cu amanuntul - exclusiv vanzarea, intretinerea si repararea autovehiculelor, a motocicletelor si comerul cu amanuntul al carburantilor - pe grupe de marfuri",COM102A
"Indicii comertului cu amanuntul, pe grupe de marfuri CAEN Rev.2 - an baza = an precedent",COM102B
"Cifra de afaceri in comertul cu ridicata pentru intreprinderile cu activitate principala de comert,  pe activitati CAEN Rev.1 si forme de proprietate",COM103A
"Cifra de afaceri in comertul cu ridicata pentru intreprinderile cu activitate principala de comert,  pe activitati CAEN Rev.2 si forme de proprietate",COM103F
"Indicii valorici ai cifrei de afaceri din comertul cu ridicata, serie bruta - an de baza 2015",COM103J
"Indicii valorici ai cifrei de afaceri din comertul cu ridicata, serie ajustata cu numarul de zile lucratoare si de sezonalitate - an de baza 2015",COM103K
"Indicii valorici ai cifrei de afaceri din comertul cu ridicata , serie ajustata cu numarul de zile lucratoare - an de baza 2015",COM103L
"Indicii volumului cifrei de afaceri din comertul cu ridicata, serie bruta - an de baza 2015",COM103M
"Indicii volumului cifrei de afaceri din comertul cu ridicata , serie ajustata cu numarul de zile lucratoare si de sezonalitate - an de baza 2015",COM103N
"Indicii volumului cifrei de afaceri din comertul cu ridicata, serie ajustata cu numarul de zile lucratoare - an de baza 2015",COM103O
"Valoarea vanzarilor din comertul cu amanuntul, vanzarea si intretinerea autovehiculelor CAEN Rev.1, pe forme de proprietate",COM104A
"Valoarea vanzarilor din comertul cu amanuntul, vanzarea si intretinerea autovehiculelor CAEN Rev.2, pe forme de proprietate",COM104B
"Indicii privind comertul cu ridicata si cu amanuntul, intretinerea si repararea autovehiculelor si a motocicletelor CAEN Rev.2 - an baza = an precedent",COM106C
"Indicii volumului cifrei de afaceri din comertul cu amanuntul, serie bruta - an de baza 2015",COM107M
"Indicii volumului cifrei de afaceri din comertul cu amanuntul, serie ajustata cu numarul de zile lucratoare si de sezonalitate - an de baza 2015",COM107N
"Indicii volumului cifrei de afaceri din comertul cu amanuntul, serii ajustate in functie de numarul de zile lucratoare - an de baza 2015",COM107O
"Indicii valorici ai cifrei de afaceri din comertul cu amanuntul, serie bruta - an de baza 2015",COM107P
"Indicii valorici ai cifrei de afaceri din comertul cu amanuntul, serie ajustata cu numarul de zile lucratoare si de sezonalitate - an de baza 2015",COM107R
"Indicii valorici ai cifrei de afaceri din comertul cu amanuntul, serie ajustata cu numarul de zile lucratoare - an de baza 2015",COM107S
"Indicii volumului cifrei de afaceri din comertul cu ridicata si cu amanuntul, intretinerea si repararea autovehiculelor si a motocicletelor, serie bruta - an de baza 2015",COM108M
"Indicii volumului cifrei de afaceri din comertul cu ridicata si cu amanuntul, intretinerea si repararea autovehiculelor si a motocicletelor, serie ajustata cu numarul de zile lucratoare si de sezonalitate - an de baza 2015",COM108N
"Indicii volumului cifrei de afaceri din comertul cu ridicata si cu amanuntul, intretinerea si repararea autovehiculelor si a motocicletelor, serie ajustata cu numarul de zile lucratoare - an de baza 2015",COM108O
"Indicii valorici ai cifrei de afaceri din comertul cu ridicata si cu amanuntul, intretinerea si repararea autovehiculelor si a motocicletelor, serie bruta - an de baza 2015",COM108P
"Indicii valorici ai cifrei de afaceri din comertul cu ridicata si cu amanuntul, intretinerea si repararea autovehiculelor si a motocicletelor, serie ajustata cu numarul de zile lucratoare si de sezonalitate - an de baza 2015",COM108R
"Indicii valorici ai cifrei de afaceri din comertul cu ridicata si cu amanuntul, intretinerea si repararea autovehiculelor si a motocicletelor, serie ajustata cu numarul de zile lucratoare - an de baza 2015",COM108S
Indicii volumului cifrei de afaceri la nivelul sectiunii G din CAEN REV.2 - an de baza 2015,COM109A
"Tabelul intrari - iesiri, echilibrul resurse - utilizari pe produse, preturi curente - SEC 79",CON101N
"PIB - metoda de productie, preturi curente - SEC 79",CON101O
"PIB - metoda cheltuielilor, preturi curente - SEC 79",CON101P
"Tabelul intrari - iesiri, conturile de productie si de exploatare pe ramuri - utilizari pe produse si activitati ale economiei nationale, preturi curente - SEC 79",CON101Q
"Tabelul intrari - iesiri, echilibrul resurse - utilizari pe produse, preturi comparabile - SEC 79",CON101R
"PIB - metoda de productie, preturi comparabile - SEC 79",CON101S
"PIB - metoda cheltuielilor, preturi comparabile - SEC 79",CON101T
"Tabelul intrari - iesiri, contul de productie  pe ramuri - utilizari pe produse si activitati ale economiei nationale, preturi comparabile - SEC 79",CON101U
"Tabelul intrari - iesiri, contul de productie pe ramuri - utilizari pe produse si activitati ale economiei nationale - forma restransa, preturi curente - SEC 79",CON101V
"Tabelul intrari - iesiri, contul de productie pe ramuri - utilizari pe produse si activitati ale economiei nationale - forma restransa, preturi comparabile - SEC 79",CON101W
"Tabelul intrari - iesiri, conturile de productie si de exploatare pe ramuri - utilizari pe produse si activitati ale economiei nationale - forma restransa, preturi curente - SEC 79",CON101X
"Tabelul intrari - iesiri, conturile de productie si de exploatare pe ramuri - utilizari pe produse si activitati ale economiei nationale - forma restransa, preturi comparabile - SEC 79",CON101Y
"PIB - metoda veniturilor, preturi curente - SEC 79",CON101Z
"Tabelul economic de ansamblu pe categorii de utilizari, conturi si operatiuni, preturi curente - SEC 79",CON102A
"Tabelul economic de ansamblu pe categorii de resurse, conturi si operatiuni, preturi curente - SEC 79",CON102B
"Tabelul conturilor economice integrate pe categorii de resurse si utilizari, conturi si operatiuni, preturi curente - SEC 2010",CON102D
"Produsul intern brut (PIB) regional - preturi curente, calculat conform CAEN Rev.1",CON103A
"Produsul intern brut (PIB) regional pe locuitor - preturi curente, calculat conform CAEN Rev.1",CON103B
"PIB pe macroregiuni, regiuni de dezvoltare si judete, calculat conform CAEN Rev.1",CON103C
"Produsul intern brut (PIB) regional - preturi curente, calculat conform CAEN Rev.2 - SEC 2010",CON103G
Produsul intern brut (PIB) regional pe locuitor - preturi curente - calculat conform CAEN Rev.2 - SEC 2010,CON103H
"PIB pe macroregiuni, regiuni de dezvoltare si judete - calculat conform CAEN Rev.2 - SEC 2010",CON103I
"Produsul intern brut trimestrial - serie ajustata sezonier CAEN Rev.2, preturi curente
",CON104H
"Produsul intern brut trimestrial - serie ajustata sezonier CAEN Rev.2, preturi medii ale anului 2000
",CON104I
"Produsul intern brut trimestrial - serie ajustata sezonier CAEN Rev.2, indici de volum - % fata de trimestrul precedent 
",CON104J
"Produsul intern brut trimestrial - serie ajustata sezonier CAEN Rev.2, indici de pret - % fata de trimestrul precedent
",CON104K
"Produsul intern brut trimestrial - serie ajustata sezonier CAEN Rev.2,  indici de volum - % fata de media anului 2000
",CON104L
"Produsul intern brut trimestrial - serie ajustata sezonier CAEN Rev.2, indici de pret - % fata de media anului 2000
",CON104M
"Produsul intern brut trimestrial - serie ajustata sezonier CAEN Rev.2,  indici de volum - % fata de  trimestrul corespunzator din anul precedent",CON104N
"Produsul intern brut trimestrial - serie ajustata sezonier CAEN Rev.2, indici de pret - % fata de trimestrul corespunzator din anul precedent",CON104O
"Produsul intern brut trimestrial - serie bruta CAEN Rev.2, preturi curente",CON106A
"Produsul intern brut trimestrial - serie bruta CAEN Rev.2, preturi medii ale trimestrului corespunzator din anul precedent",CON106B
"Produsul intern brut trimestrial - serie bruta CAEN Rev.2, indici de volum - % fata de trimestrul corespunzator din anul precedent",CON106C
"Produsul intern brut trimestrial - serie bruta CAEN Rev.2, indici de pret - % fata de trimestrul corespunzator din anul precedent",CON106D
"Produsul intern brut trimestrial - serie bruta CAEN Rev.2, preturi medii ale anului 2000",CON106E
"Produsul intern brut trimestrial - serie bruta CAEN Rev.2, indici de volum - % fata de media anului 2000",CON106F
"Produsul intern brut trimestrial - serie bruta CAEN Rev.2, indici de pret - % fata de media anului 2000",CON106G
"Principalele agregate, pe locuitor - SEC 2010, preturi curente
",CON107B
"Populatia ocupata, pe activitati ale economiei nationale CAEN Rev.1 si dupa statutul profesional",CON108A
"Populatia ocupata, pe activitati ale economiei nationale CAEN Rev.2 si dupa statutul profesional - SEC 95",CON108B
"Populatia ocupata, pe activitati ale economiei nationale CAEN Rev.2 si dupa statutul profesional - SEC2010",CON108C
"Ore lucrate de populatia ocupata, pe activitati ale economiei nationale CAEN Rev.1 si dupa statutul profesional",CON109A
"Ore lucrate de populatia ocupata, pe activitati ale economiei nationale CAEN Rev.2 si dupa statutul profesional - SEC 95",CON109B
"Ore lucrate de populatia ocupata, pe activitati ale economiei nationale CAEN Rev.2 si dupa statutul profesional - SEC 2010",CON109C
"Productivitatea muncii, pe persoana ocupata, pe activitati ale economiei nationale CAEN Rev.1",CON110A
"Productivitatea orara a muncii, pe activitati ale economiei nationale CAEN Rev.1",CON110C
"Productivitatea muncii, pe persoana ocupata, pe activitati ale economiei nationale CAEN Rev.2 - SEC 2010",CON110E
"Productivitatea orara a muncii, pe activitati ale economiei nationale CAEN Rev.2 - SEC 2010",CON110F
"Tabelul intrari - iesiri, echilibrul resurse - utilizari pe produse, preturi curente - SEC 2010 - CAEN Rev.2",CON111A
"PIB - metoda de productie, preturi curente - SEC 2010",CON111B
"PIB - metoda cheltuielilor, preturi curente - SEC 2010",CON111C
"Tabelul intrari - iesiri, conturile de productie si de exploatare pe ramuri - utilizari pe produse si activitati ale economiei nationale, preturi curente - SEC 2010 - CAEN Rev.2",CON111D
"Tabelul intrari - iesiri, echilibrul resurse - utilizari pe produse, preturi comparabile - SEC 2010 - CAEN Rev.2",CON111E
"PIB - metoda de productie, preturi comparabile - SEC 2010",CON111F
"PIB - metoda cheltuielilor, preturi comparabile - SEC 2010",CON111G
"Tabelul intrari - iesiri, contul de productie pe ramuri - utilizari pe produse si activitati ale economiei nationale, preturi comparabile - SEC 2010 - CAEN Rev.2",CON111H
"Tabelul intrari - iesiri, contul de productie pe ramuri - utilizari pe produse si activitati ale economiei nationale - forma restransa, preturi curente - SEC 2010 - CAEN Rev.2",CON111I
"Tabelul intrari - iesiri, contul de productie pe ramuri - utilizari pe produse si activitati ale economiei nationale - forma restransa, preturi comparabile - SEC 2010 - CAEN Rev.2",CON111J
"Tabelul intrari - iesiri, conturile de productie si de exploatare pe ramuri - utilizari pe produse si activitati ale economiei nationale - forma restransa, preturi curente - SEC 2010 - CAEN Rev.2",CON111K
"Tabelul intrari - iesiri, conturile de productie si de exploatare pe ramuri - utilizari pe produse si activitati ale economiei nationale - forma restransa, preturi comparabile - SEC 2010 - CAEN Rev.2",CON111L
"PIB - metoda veniturilor, preturi curente - SEC 2010",CON111M
"Conturi trimestriale ale sectoarelor institutionale - serie bruta, pe categorii de resurse, utilizari si operatiuni, preturi curente, SEC 2010 
",CON112A
"Clasificarea incrucisata a activelor fixe brute pe ramuri de activitate si pe active, la costuri de inlocuire curente",CON113A
"Clasificarea incrucisata a activelor fixe brute pe ramuri de activitate si pe active, la costuri de inlocuire ale anului precedent",CON113B
"Clasificarea incrucisata a activelor fixe nete pe ramuri de activitate si pe active, la costuri de inlocuire curente",CON113C
"Clasificarea incrucisata a activelor fixe nete pe ramuri de activitate si pe active, la costuri de inlocuire ale anului precedent",CON113D
"Clasificarea incrucisata a formarii brute de capital fix pe ramuri de activitate si pe tipuri de active fixe, in preturi curente",CON114A
"Clasificarea incrucisata a formarii brute de capital fix pe ramuri de activitate si pe tipuri de active fixe, in preturile anului anterior",CON114B
"Conturile de patrimoniu  pentru activele nefinanciare (pe sectoare institutionale), in preturi curente",CON115A
"Remunerarea angajatilor pe ramuri de activitate CAEN Rev.2, macroregiuni si regiune de dezvoltare (preturi curente)",CON116A
"Formarea bruta de capital fix pe ramuri de activitate CAEN Rev.2, macroregiuni si regiune de dezvoltare (preturi curente)",CON117A
"Populatia ocupata si salariatii pe ramuri de activitate CAEN Rev.2, macroregiuni, regiuni de dezvoltare  si judete (preturi curente)",CON118A
"Ore lucrate de populatia ocupata si salariati pe ramuri de activitate CAEN Rev.2, macroregiuni si regiune de dezvoltare (preturi curente)",CON119A
"Conturile regionale ale gospodariei populatiei pe categorii de resurse si utilizari, categorii de conturi si operatiuni, macroregiuni si regiune de dezvoltare (preturi curente)",CON120A
"Ponderea gospodariilor care au realizat economii in ultimele 12 luni, dupa statutul ocupational al capului gospodariei",COV101M
"Ponderea gospodariilor cu imprumuturi, dupa statutul ocupational al capului gospodariei",COV101N
"Ponderea gospodariilor cu imprumuturi, dupa durata restituirii imprumutului",COV101O
Ponderea gospodariilor dupa statutul de ocupare a locuintei principale si statutul ocupational al capului gospodariei,COV101P
"Ponderea gospodariilor care detin o a doua locuinta, dupa statutul ocupational al capului gospodariei",COV101R
Numarul gospodariilor dupa dotarea cu bunuri  de folosinta indelungata si statutul ocupational al capului gospodariei,COV101S
Numarul gospodariilor dupa dotarea utilitara a locuintelor si statutul ocupational al capului gospodariei,COV101U
"Gospodarii care au suferit daune in ultimele 12 luni, dupa tipul imobilului in care locuiesc",COV102A
" Gospodarii care au suferit daune in ultimele 12 luni, dupa statutul ocupational al capului gospodariei",COV102B
"Gospodarii care au suferit furturi in ultimele 12 luni, dupa tipul de cartier / zona in care locuiesc",COV102C
"Gospodarii care au suferit furturi in ultimele 12 luni, dupa tipul imobilului  in care locuiesc",COV102D
"Gospodarii care au suferit furturi in ultimele 12 luni, dupa statutul ocupational al capului gospodariei",COV102E
" Gospodarii cu locuinte asigurate, dupa tipul imobilului  in care locuiesc",COV102F
" Gospodarii cu locuinte asigurate, dupa perioada construirii imobilului",COV102G
"Gospodarii cu locuinte asigurate, dupa statutul ocupational al capului gospodariei",COV102H
" Gospodarii cu asigurare facultativa a automobilului, dupa statutul ocupational al capului gospodariei",COV102I
Gospodarii dupa factorii care influenteaza mediul in care se afla locuinta,COV102J
" Gospodarii dupa opinia capului gospodariei cu privire la necesitatea existentei in cartier / localitate a unor utilitati publice, dupa tipul acestora",COV102K
"Numarul mediu de persoane pe o camera, dupa marimea gospodariei",COV103A
"Numarul mediu de persoane pe o camera, dupa statutul ocupational al capului gospodariei",COV103B
"Numarul mediu de persoane pe o camera, dupa statutul de ocupare a locuintei",COV103C
"Suprafata medie locuibila pe o persoana, dupa statutul ocupational al capului gospodariei",COV104A
"Suprafata medie locuibila pe o persoana, dupa marimea gospodariei",COV104B
"Suprafata medie locuibila pe o persoana, dupa statutul de ocupare a locuintei",COV104C
"Suprafata medie utila pe o persoana, dupa statutul ocupational al capului gospodariei",COV105A
"Suprafata medie utila pe o persoana, dupa marimea gospodariei",COV105B
"Suprafata medie utila pe o persoana, dupa statutul de ocupare a locuintei",COV105C
"Ponderea persoanelor de 7 ani si peste care au efectuat cel putin o calatorie in ultimele 12 luni, pe sexe",COV106M
"Ponderea persoanelor de 7 ani si peste care au efectuat cel putin o calatorie in ultimele 12 luni, pe grupe de varsta",COV106N
"Ponderea persoanelor de 7 ani si peste care au efectuat cel putin o calatorie in ultimele 12 luni, dupa statutul ocupational",COV106O
"Ponderea persoanelor de 7 ani si peste  care au efectuat cel putin o calatorie in ultimele 12 luni, dupa destinatia calatoriilor",COV106P
"Numarul persoanelor de 7 ani si peste din mediul urban care utilizeaza mijloace de transport in comun, pe sexe",COV107A
"Numarul persoanelor de 7 ani si peste din mediul urban care utilizeaza mijloace de transport in comun, pe grupe de varsta",COV107B
"Numarul persoanelor de 7 ani si peste din mediul urban care utilizeaza mijloace de transport in comun ,dupa statutul ocupational",COV107C
"Numarul persoanelor de 7 ani si peste care citesc ziare/ carti in timpul liber, pe sexe",COV107D
"Persoane de 7 ani si peste care citesc ziare/ carti in timpul liber, pe grupe de varsta",COV107E
"Persoane de 7 ani si peste care citesc ziare/ carti in timpul liber, pe nivele de educatie",COV107F
" Persoane de 7 ani si peste, care au fost victime ale delictelor in ultimele 12 luni, pe sexe",COV107G
" Persoane de 7 ani si peste, care au fost victime ale delictelor in ultimele 12 luni, pe grupe de varsta",COV107H
"Persoane de 7 ani si peste, care au fost victime ale delictelor in ultimele 12 luni, dupa statutul ocupational",COV107I
"Persoane de 7 ani si peste, care au fost victime ale delictelor in ultimele 12 luni, dupa tipul de cartier / zona in care locuiesc",COV107J
" Persoane de 7 ani si peste, care au fost victime ale delictelor in ultimele 12 luni, dupa tipul delictelor suferite",COV107K
Sectii sportive pe federatii,CSP101A
" Sectii sportive, pe macroregiuni, regiuni de dezvoltare si judete",CSP101B
Sportivi legitimati pe federatii sportive,CSP102A
"Sportivi legitimati,  pe macroregiuni, regiuni de dezvoltare si judete",CSP102B
Antrenori sportivi pe federatii sportive,CSP103A
"Antrenori sportivi, pe macroregiuni, regiuni de dezvoltare si judete",CSP103B
Instructori sportivi pe federatii sportive,CSP104A
"Instructori sportivi pe macroregiuni, regiuni de dezvoltare si judete",CSP104B
Arbitri sportivi pe federatii sportive,CSP105A
"Arbitri sportivi, pe macroregiuni, regiuni de dezvoltare si judete",CSP105B
Medalii la Jocurile Olimpice incepand cu anul 1924 pe categorii de medalii sportive si ani olimpici,CSP106A
Medalii la Jocurile Olimpice incepand cu anul 1924 pe ramuri de sport si categorii de medalii sportive,CSP106B
Locuri obtinute la Jocurile Olimpice incepand cu anul 1924 pe categorii de locuri si ani olimpici,CSP109A
Locuri obtinute la Competitiile Internationale pe federatii sportive,CSP110A
"Medaliile obtinute de sportivii romani la Jocurile Olimpice si Paralimpice, Campionatele Mondiale si Europene pe federatii sportive, categorii de intreceri sportive internationale si categorii de locuri obtinute",CSP111A
Valoarea exportului (FOB) - Total,EXP101A
Valoarea exportului (FOB) pe tari partenere,EXP101B
Valoarea exportului (FOB) pe sectiuni conform Clasificarii Standard de Comert International (CSCI) Rev.3,EXP101C
Valoarea exportului (FOB) pe tari ale Uniunii Europene si sectiuni conform Nomenclatorului Combinat (NC),EXP101D
"Valoarea exportului (FOB) pe sectiuni si capitole conform Nomenclatorului Combinat, total, din care pentru Uniunea Europeana",EXP101E
Valoarea exportului (FOB) pe grupe de marfuri din Nomenclatorul Combinat (NC),EXP101F
Valoarea exportului (FOB) pe sectiuni conform Clasificarii Standard de Comert International (CSCI) Rev.4,EXP101G
"Exporturi (FOB) pe sectiuni conform Clasificarii Standard de Comert International (CSCI) Rev.4, pe Total, Intra-UE si Extra-UE - date lunare",EXP101I
Exporturi (FOB) pe judete si pe sectiuni/capitole ale Nomenclatorul Combinat (NC) - date  lunare,EXP101J
"Exporturile (FOB), pe principalele moduri de transport",EXP101M
Ponderea detinuta in valoarea totala a exporturilor de primele firme exportatoare in ordinea valorii exporturilor inregistrate in perioada de referinta (semestru sau an intreg),EXP101N
Firme exportatoare dupa clase de marime in functie de numarul de salariati,EXP101O
Firme exportatoare dupa forma de proprietate,EXP101P
Firme exportatoare dupa tipul de capital,EXP101R
Firme exportatoare pe principalele sectoare de activitate - CAEN Rev.2,EXP101S
Valoarea importului (CIF) - Total,EXP102A
Valoarea importului (CIF) pe sectiuni conform Clasificarii Standard de Comert International (CSCI) Rev. 3,EXP102B
Valoarea importului (CIF) pe tari ale Uniunii Europene si sectiuni conform Nomenclatorului Combinat (NC),EXP102C
"Valoarea importului (CIF) pe sectiuni si capitole conform Nomenclatorului Combinat, total, din care Uniunea Europeana",EXP102D
Valoarea importului (CIF) pe tari de origine,EXP102E
Valoarea importului (CIF) pe grupe de marfuri din Nomenclatorul Combinat (NC),EXP102F
"Valoarea importului (CIF) pe tari partenere (tari de expediere pentru importurile Intra-UE, tari de origine pentru importurile Extra-UE)",EXP102G
Valoarea importului (CIF) pe sectiuni conform Clasificarii Standard de Comert International (CSCI) Rev. 4,EXP102H
"Importuri (CIF) pe sectiuni conform Clasificarii Standard de Comert International (CSCI) Rev.4, pe total, intra-UE si extra-UE  -  date lunare",EXP102I
Importuri (CIF) pe judete si pe sectiuni/capitole ale Nomenclatorul Combinat (NC) - date  lunare,EXP102J
"Importurile (CIF), pe principalele moduri de transport",EXP102M
Ponderea detinuta in valoarea totala a importurilor de primele firme importatoare in ordinea valorii importurilor inregistrate in perioada de referinta (semestru sau an intreg),EXP102N
Firme importatoare dupa clase de marime in functie de numarul de salariati,EXP102O
Firme importatoare dupa forma de proprietate,EXP102P
Firme importatoare dupa tipul de capital,EXP102R
Firme importatoare pe principalele sectoare de activitate - CAEN Rev.2,EXP102S
Soldul total al balantei comerciale FOB/FOB,EXP103A
Soldul total al balantei comerciale FOB/CIF,EXP103B
Indicii valorici ai comertului exterior (an precedent = 100),EXP104A
Indicii valorii unitare de export si import,EXP105A
Executia bugetului de stat pe categorii de venituri si cheltuieli,FIN101A
Executia bugetului de stat pe categorii de venituri si cheltuieli,FIN101B
Executia bugetelor locale pe categorii de venituri si cheltuieli,FIN102A
"Executia bugetelor locale pe elemente de venituri si cheltuieli, macroregiuni, regiuni de dezvoltare si judete",FIN102B
Executia bugetelor locale pe categorii de venituri si cheltuieli,FIN102C
"Executia bugetului de asigurari sociale de stat, pe elemente de venituri si cheltuieli",FIN103A
"Executia bugetului de asigurari sociale de stat, pe elemente de venituri si cheltuieli",FIN103B
Balanta de plati pe elemente componente,FIN104A
Bilantul monetar al Bancii Nationale a Romaniei pe conturi si operatiuni,FIN105A
"Resurse de munca pe sexe, macroregiuni, regiuni de dezvoltare si judete",FOM101A
"Populatia activa civila pe sexe, macroregiuni, regiuni de dezvoltare si judete",FOM102A
"Populatia ocupata civila pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1, sexe, macroregiuni, regiuni de dezvoltare si judete",FOM103A
"Populatia ocupata civila pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1, dupa statutul profesional al populatiei ocupate",FOM103B
Populatia ocupata civila pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1 si forme de proprietate,FOM103C
"Populatia ocupata civila pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.2, sexe, macroregiuni, regiuni de dezvoltare si judete",FOM103D
"Populatia ocupata civila pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.2, dupa statutul profesional al populatiei ocupate",FOM103E
Populatia ocupata civila pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.2 si forme de proprietate,FOM103F
"Numarul mediu al salariatilor pe categorii de salariati, activitati ale economiei nationale la nivel de sectiune CAEN Rev.1, macroregiuni, regiuni de dezvoltare si judete",FOM104A
"Numarul mediu al salariatilor pe categorii de salariati, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",FOM104B
Numarul mediu al salariatilor pe judete si localitati,FOM104D
Numarul mediu al salariatilor pe categorii de salariati si activitati ale industriei la nivel de diviziune CAEN Rev.1,FOM104E
"Numarul mediu al salariatilor pe activitati ale economiei nationale (sectiuni si diviziuni) CAEN Rev.2, sexe, macroregiuni, regiuni de dezvoltare si judete",FOM104F
"Numarul mediu al salariatilor pe categorii de salariati, forme de proprietate, activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2 si pe sexe",FOM104G
"Efectivul  salariatilor la sfarsitul anului, pe categorii de salariati, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",FOM105A
"Efectivul  salariatilor la sfarsitul anului, pe categorii de salariati, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1, sexe, macroregiuni, regiuni de dezvoltare si judete",FOM105B
Efectivul  salariatilor la sfarsitul anului pe categorii de salariati si activitati ale industriei la nivel de diviziune CAEN Rev.1,FOM105D
Efectivul salariatilor la sfarsitul lunii pe activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2,FOM105E
"Efectivul salariatilor la sfarsitul anului, pe activitati ale economiei nationale (sectiuni si diviziuni) CAEN Rev.2, sexe, macroregiuni, regiuni de dezvoltare si judete",FOM105F
"Efectivul  salariatilor la sfarsitul anului, pe categorii de salariati, forme de proprietate, activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2 si pe sexe",FOM105G
"Castigul salarial nominal mediu net lunar pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1, categorii de salariati, macroregiuni, regiuni de dezvoltare si judete",FOM106A
Castigul salarial nominal mediu net lunar pe forme de proprietate si categorii de salariati,FOM106B
Castigul salarial nominal mediu net lunar pe activitati ale industriei la nivel de diviziune CAEN Rev.1 si categorii de salariati,FOM106C
Castigul salarial mediu net lunar pe activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2,FOM106D
"Castigul salarial nominal mediu net lunar pe activitati ale economiei nationale (sectiuni si diviziuni) CAEN Rev.2, sexe, macroregiuni, regiuni de dezvoltare si judete",FOM106E
"Castigul salarial nominal mediu net lunar, pe categorii de salariati, forme de proprietate, activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2 si pe sexe",FOM106F
"Castigul salarial nominal mediu brut lunar pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1, categorii de salariati, macroregiuni, regiuni de dezvoltare si judete",FOM107A
Castigul salarial nominal mediu brut lunar pe activitati ale industriei la nivel de diviziune CAEN Rev.1 si categorii de salariati,FOM107B
Castigul salarial nominal mediu brut lunar pe forme de proprietate si categorii de salariati,FOM107C
Castigul salarial mediu brut lunar pe activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2,FOM107D
"Castigul salarial nominal mediu brut lunar pe activitati ale economiei nationale (sectiuni si diviziuni) CAEN Rev.2, sexe, macroregiuni, regiuni de dezvoltare si judete",FOM107E
"Castigul salarial nominal mediu brut lunar, pe categorii de salariati, forme de proprietate, activitati (sectiuni si diviziuni) ale economiei nationale  CAEN Rev.2 si pe sexe",FOM107F
Indicii castigului salarial real,FOM110A
"Costul mediu lunar al fortei de munca pe salariat, pe activitati ale economiei nationale la nivel de sectiune CAEN Rev.1",FOM111A
"Costul mediu lunar al fortei de munca pe salariat, pe activitati ale industriei la nivel de diviziune CAEN Rev.1",FOM111B
"Costul mediu lunar al fortei de munca pe salariat, pe activitati (sectiuni si diviziuni) ale economiei nationale CAEN Rev.2",FOM111C
